participantId,role,lane,totalScoreRank,totalPlayerScore,objectivePlayerScore,combatPlayerScore,champLevel,win,assists,deaths,goldEarned,goldSpent,totalDamageDealt,physicalDamageDealt,magicDamageDealt,trueDamageDealt,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,totalTimeCrowdControlDealt,timeCCingOthers,longestTimeSpentLiving,damageSelfMitigated,totalDamageTaken,physicalDamageTaken,magicalDamageTaken,trueDamageTaken,totalHeal,totalUnitsHealed,turretKills,inhibitorKills,damageDealtToTurrets,damageDealtToObjectives,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,kills,doubleKills,tripleKills,quadraKills,pentaKills,largestMultiKill,killingSprees,largestKillingSpree,visionScore,wardsPlaced,wardsKilled,sightWardsBoughtInGame,visionWardsBoughtInGame
6,NONE,JUNGLE,0,0,0,0,14,True,12,2,9686,7835,114245,12089,102156,0,16055,579,15475,0,0,305,16,1091,4210,9018,6519,2498,0,420,1,0,0,1818,3712,176,6,3,3,3,0,0,0,0,1,0,0,9,8,0,0,0
7,NONE,JUNGLE,0,0,0,0,13,True,11,1,8996,8100,104839,22201,74885,7751,14032,2249,11107,675,537,598,41,881,21529,19503,14269,4986,248,10081,1,1,0,2190,5374,36,73,48,25,2,0,0,0,0,1,0,0,33,5,4,0,3
8,DUO_CARRY,BOTTOM,0,0,0,0,13,True,9,2,10752,8600,87445,83762,2713,969,16257,14145,1764,347,229,1505,47,816,5304,8911,6334,2488,88,2609,3,4,0,6599,9601,153,5,5,0,7,1,0,0,0,2,2,5,18,8,3,0,1
9,DUO_SUPPORT,BOTTOM,0,0,0,0,12,True,18,0,8505,6575,16096,5551,7376,3168,3764,971,2793,0,0,124,29,0,7850,9227,7549,1678,0,7127,13,0,0,2898,6778,16,0,0,0,1,0,0,0,0,1,0,0,56,22,6,0,1
10,SOLO,TOP,0,0,0,0,14,True,7,3,11577,10375,109519,98428,6020,5070,16933,14789,1796,346,0,339,20,507,25177,19212,15304,3792,116,1651,1,2,0,4620,12100,167,1,0,1,10,2,0,0,0,2,2,7,23,12,4,0,1
1,NONE,JUNGLE,0,0,0,0,12,True,8,8,8459,8030,80081,21170,50494,8415,6357,912,5227,217,414,644,24,400,19578,25284,14290,10721,272,8354,1,0,0,373,2929,15,81,49,32,0,0,0,0,0,0,0,0,45,22,2,0,3
2,SOLO,MIDDLE,0,0,0,0,15,True,8,4,14473,10525,174055,46933,122420,4701,19916,5318,13526,1071,0,490,17,440,7850,17207,10911,5993,302,6558,4,4,1,10436,10547,212,19,13,6,8,1,1,0,0,3,3,3,28,5,9,0,1
3,DUO_CARRY,BOTTOM,0,0,0,0,13,True,5,0,11974,10425,136786,106896,24909,4980,17923,13634,3535,753,1040,164,34,0,4042,6939,5122,1682,134,2364,3,5,0,7530,17923,177,9,8,1,8,1,0,0,0,2,1,8,18,8,2,0,3
4,SOLO,TOP,0,0,0,0,13,True,5,6,10343,9650,94316,86169,4742,3404,19338,16898,1470,968,0,161,7,484,11187,21268,12404,6050,2813,3751,1,0,1,2304,6292,135,18,2,16,7,1,0,0,0,2,2,4,22,11,2,0,2
5,DUO_SUPPORT,BOTTOM,0,0,0,0,12,True,13,1,7832,6375,18908,5525,11335,2047,5875,772,5025,77,0,138,41,961,8086,13901,8654,5142,103,1239,3,0,0,1042,5167,24,0,0,0,1,0,0,0,0,1,0,0,42,17,5,0,3
6,SOLO,TOP,0,0,0,0,14,False,10,3,9780,9150,125185,110077,14997,111,8955,7268,1576,111,223,135,16,553,13690,19153,10750,6901,1501,5058,1,0,0,980,1498,181,54,14,40,0,0,0,0,0,0,0,0,27,9,6,0,2
7,NONE,JUNGLE,0,0,0,0,12,False,5,8,9393,8725,106034,94912,3497,7624,11488,9052,1582,854,0,185,8,680,10556,23368,16189,6894,284,7482,1,0,0,1088,14664,55,35,29,6,6,0,0,0,0,1,1,4,30,11,4,0,2
8,SOLO,MIDDLE,0,0,0,0,16,False,6,4,13253,12525,153914,35387,113106,5420,23819,2558,20272,988,0,150,24,407,8820,21662,13336,7772,554,8160,1,2,0,3646,15220,214,3,2,1,10,1,0,0,0,2,2,7,17,7,0,0,1
9,DUO_SUPPORT,BOTTOM,0,0,0,0,12,False,6,3,6771,5900,23190,5856,9526,7807,5617,862,4308,446,0,726,27,1188,15738,16466,10677,5308,480,3252,6,0,0,47,865,50,0,0,0,0,0,0,0,0,0,0,0,57,27,5,0,4
10,DUO_CARRY,BOTTOM,0,0,0,0,12,False,5,6,8663,8200,88196,77584,10002,609,13198,11356,1233,609,0,148,2,522,7893,13949,9094,4445,410,2007,3,0,0,92,4445,132,3,2,1,3,0,0,0,0,1,1,2,15,10,3,0,0
1,DUO_CARRY,BOTTOM,0,0,0,0,11,True,4,4,10439,9950,78795,78578,193,24,15973,15836,137,0,0,62,6,479,8184,12464,5747,4451,2264,4563,3,3,0,2251,2251,119,5,2,3,9,3,0,0,0,2,2,4,5,4,0,0,0
2,NONE,JUNGLE,0,0,0,0,10,True,5,1,7525,6747,78341,58329,10026,9985,4770,3366,1054,350,0,572,6,536,8410,11815,9511,2304,0,4176,1,1,0,1779,19528,3,53,36,17,6,2,0,0,0,2,2,4,16,6,1,0,2
3,SOLO,MIDDLE,0,0,0,0,12,True,8,1,7906,7825,75939,11408,40563,23967,10903,586,6925,3391,0,33,11,832,2347,6561,2802,3759,0,1891,1,1,0,2926,3584,149,1,1,0,3,0,0,0,0,1,1,2,9,7,0,0,3
4,SOLO,TOP,0,0,0,0,12,True,6,1,7697,5900,58441,48824,2851,6764,14922,10044,2328,2550,0,36,19,930,11418,13266,6433,6773,60,4349,1,0,0,2504,2504,119,3,0,3,5,0,0,0,0,1,1,4,7,6,0,0,0
5,DUO_SUPPORT,BOTTOM,0,0,0,0,9,True,14,3,5961,5650,15851,4158,11245,447,6573,1306,4850,416,0,125,12,516,3620,6249,2730,3518,0,811,1,0,0,491,1069,9,0,0,0,2,0,0,0,0,1,0,0,8,6,1,0,0
6,NONE,JUNGLE,0,0,0,0,10,False,3,4,5928,5150,65544,20497,13065,31982,4983,1387,3105,490,0,435,13,526,10449,20749,13569,5647,1532,8674,5,0,0,0,6737,22,44,33,11,3,0,0,0,0,1,1,2,17,12,1,0,1
7,SOLO,TOP,0,0,0,0,10,False,1,5,5305,4785,45507,7925,37275,306,8063,988,6769,306,436,65,3,384,5609,14663,9946,3037,1679,6919,1,0,0,1268,1268,95,0,0,0,1,0,0,0,0,1,0,0,8,6,0,0,0
8,DUO_SUPPORT,BOTTOM,0,0,0,0,10,False,8,6,5315,4875,8907,1785,6975,146,2804,784,1873,146,0,222,23,283,5121,10912,7804,2252,855,7390,5,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,10,7,1,0,1
