participantId,role,lane,totalScoreRank,totalPlayerScore,objectivePlayerScore,combatPlayerScore,champLevel,win,assists,deaths,goldEarned,goldSpent,totalDamageDealt,physicalDamageDealt,magicDamageDealt,trueDamageDealt,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,totalTimeCrowdControlDealt,timeCCingOthers,longestTimeSpentLiving,damageSelfMitigated,totalDamageTaken,physicalDamageTaken,magicalDamageTaken,trueDamageTaken,totalHeal,totalUnitsHealed,turretKills,inhibitorKills,damageDealtToTurrets,damageDealtToObjectives,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,kills,doubleKills,tripleKills,quadraKills,pentaKills,largestMultiKill,killingSprees,largestKillingSpree,visionScore,wardsPlaced,wardsKilled,sightWardsBoughtInGame,visionWardsBoughtInGame
1,DUO_SUPPORT,BOTTOM,0,0,0,0,14,True,14,4,10938,9950,44997,5545,37434,2018,23474,1598,21361,514,0,457,59,510,4351,12496,6846,5411,238,2003,4,0,1,2593,4705,20,0,0,0,5,0,0,0,0,1,1,3,57,21,12,0,8
2,SOLO,TOP,0,0,0,0,15,True,5,7,12174,11625,131934,116214,580,15139,24181,16369,580,7232,0,862,16,511,34742,24898,18285,6165,448,5268,1,2,1,6161,6316,210,1,0,1,6,0,0,0,0,1,1,4,15,5,4,0,1
3,DUO_CARRY,BOTTOM,0,0,0,0,15,True,10,4,12423,10225,133714,116942,12585,4186,12919,10221,2427,270,418,526,27,472,6427,13969,8951,4306,712,2912,3,2,0,1530,18767,201,23,4,19,4,0,0,0,0,1,0,0,42,17,5,0,8
4,SOLO,MIDDLE,0,0,0,0,15,True,10,3,13320,12820,130041,10938,115777,3326,20651,1554,18946,150,0,83,20,889,9162,15617,8417,7144,56,4620,1,1,0,3554,10904,183,10,2,8,9,1,0,0,0,2,2,7,33,8,2,0,3
5,NONE,JUNGLE,0,0,0,0,16,True,7,4,13453,12150,163358,127045,24851,11461,14458,12238,2030,190,0,828,16,517,23820,26890,19319,7450,120,5152,1,1,0,8131,18325,49,96,56,40,8,2,0,0,0,2,2,4,34,20,0,0,3
6,DUO_SUPPORT,BOTTOM,0,0,0,0,13,False,11,7,7815,7775,29441,8350,14694,6395,8739,3118,4870,750,0,127,30,532,15574,23861,10732,12536,592,1920,5,0,0,0,166,42,2,0,2,3,0,0,0,0,1,0,0,51,27,5,0,5
7,SOLO,MIDDLE,0,0,0,0,13,False,6,9,9026,8375,117282,12405,104877,0,14724,1094,13629,0,816,44,23,385,9909,21733,9395,11180,1157,2392,1,0,0,375,724,175,6,6,0,2,0,0,0,0,1,0,0,25,10,3,0,1
8,NONE,JUNGLE,0,0,0,0,14,False,14,6,8884,8725,114668,95208,7319,12140,11817,9807,1226,784,0,633,15,597,23178,26479,15610,9083,1785,5809,1,0,0,0,0,35,80,62,18,1,0,0,0,0,1,0,0,40,17,4,0,4
9,DUO_CARRY,BOTTOM,0,0,0,0,14,False,6,3,10620,9925,116709,90244,26044,420,17423,14857,2525,40,415,201,7,977,9973,21589,15215,5242,1131,2682,3,0,0,392,392,190,7,1,6,7,0,0,0,0,1,2,3,21,9,5,0,0
10,SOLO,TOP,0,0,0,0,14,False,4,7,9617,8950,61621,28337,33284,0,12035,6823,5211,0,0,158,25,592,23044,23866,11493,8684,3688,614,1,0,0,106,106,115,0,0,0,9,1,0,0,0,2,2,5,21,14,4,0,4
1,SOLO,TOP,0,0,0,0,13,False,5,7,8959,8750,93658,81766,11891,0,11613,7660,3953,0,0,220,26,540,18260,18596,12147,4537,1911,861,1,0,0,138,138,167,1,0,1,2,0,0,0,0,1,0,0,18,9,2,0,0
2,NONE,JUNGLE,0,0,0,0,14,False,5,7,8960,13850,132440,22505,100558,9376,11084,1426,9414,244,798,385,3,447,15013,24243,18457,4736,1049,11161,4,0,0,0,3298,6,97,73,24,3,0,0,0,0,1,1,2,31,12,3,0,1
3,DUO_SUPPORT,BOTTOM,0,0,0,0,11,False,5,8,7059,5675,54720,5403,48859,458,14205,740,13006,458,0,242,33,644,4298,15413,7878,6904,630,600,1,0,0,1462,1462,47,3,1,2,2,0,0,0,0,1,0,0,20,13,3,0,3
4,DUO_CARRY,BOTTOM,0,0,0,0,13,False,5,7,9154,9175,100545,99285,1260,0,13515,12469,1046,0,315,1311,39,607,5322,16033,8603,6664,765,2464,4,2,0,2547,4503,177,0,0,0,2,0,0,0,0,1,0,0,19,9,2,0,1
5,SOLO,MIDDLE,0,0,0,0,16,False,2,2,10822,9875,143289,134823,8120,346,16280,13810,2123,346,0,180,8,967,11090,15137,6439,5200,3498,3546,1,1,0,2660,2660,232,0,0,0,5,0,0,0,0,1,2,3,24,8,3,0,3
6,SOLO,MIDDLE,0,0,0,0,14,True,10,4,11160,8635,84133,13111,70634,388,10358,1232,8887,238,0,866,13,671,10650,13978,8254,5407,316,1452,1,1,0,2144,4506,152,3,3,0,6,0,0,0,0,1,2,3,11,3,2,0,2
7,NONE,JUNGLE,0,0,0,0,16,True,9,2,12853,9950,156667,127859,2242,26565,16713,13296,0,3416,0,995,28,420,24797,29869,23120,6621,128,14070,1,0,0,2143,11852,41,112,68,44,10,0,0,0,0,1,2,7,43,15,6,0,3
8,SOLO,TOP,0,0,0,0,15,True,7,4,12176,10960,152344,24845,126742,756,16471,3198,12517,756,0,221,8,631,9433,20233,11368,8600,264,4037,1,4,0,11549,11549,210,1,1,0,3,0,0,0,0,1,0,0,12,9,1,0,3
9,DUO_CARRY,BOTTOM,0,0,0,0,15,True,9,3,12593,9925,139618,130164,394,9059,19342,16051,394,2896,451,610,14,538,6504,16424,9588,6637,198,4065,3,1,0,3576,8978,219,16,8,8,7,1,1,0,0,3,1,5,30,8,4,0,1
10,DUO_SUPPORT,BOTTOM,0,0,0,0,14,True,12,1,8575,8200,21961,7672,7743,6545,4884,832,3840,211,0,86,12,184,13110,15121,9636,5342,142,4967,3,0,0,145,1325,37,0,0,0,3,0,0,0,0,1,1,3,52,23,5,0,8
1,NONE,JUNGLE,0,0,0,0,15,True,12,5,12484,10950,140736,121306,6946,12483,24560,20136,3651,771,0,445,17,506,17318,29759,18785,10823,150,11965,1,1,0,4327,25712,26,71,48,23,11,2,0,0,0,2,3,5,57,20,5,0,5
2,SOLO,MIDDLE,0,0,0,0,15,True,15,3,11473,8900,107881,19970,87119,791,17607,2236,14942,428,0,467,24,415,16101,16021,8425,7544,52,7456,5,4,0,4255,6485,151,10,6,4,4,1,0,0,0,2,1,3,29,11,1,0,3
3,DUO_SUPPORT,BOTTOM,0,0,0,0,14,True,17,6,9650,7950,18711,7388,8777,2544,7515,1429,4717,1367,0,181,43,491,20169,21297,7906,13325,66,5251,5,0,0,1509,3212,14,0,0,0,1,0,0,0,0,1,0,0,84,43,9,0,14
4,DUO_CARRY,BOTTOM,0,0,0,0,15,True,12,5,14068,12000,179784,176825,1089,1870,30983,29127,825,1029,706,92,22,461,7854,17526,7051,10223,252,5309,3,3,1,9445,15607,236,4,2,2,7,0,0,0,0,1,2,3,32,9,14,0,0
