accountId,role,lane,totalScoreRank,totalPlayerScore,objectivePlayerScore,combatPlayerScore,champLevel,win,assists,deaths,goldEarned,goldSpent,totalDamageDealt,physicalDamageDealt,magicDamageDealt,trueDamageDealt,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,totalTimeCrowdControlDealt,timeCCingOthers,longestTimeSpentLiving,damageSelfMitigated,totalDamageTaken,physicalDamageTaken,magicalDamageTaken,trueDamageTaken,totalHeal,totalUnitsHealed,turretKills,inhibitorKills,damageDealtToTurrets,damageDealtToObjectives,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,kills,doubleKills,tripleKills,quadraKills,pentaKills,largestMultiKill,killingSprees,largestKillingSpree,visionScore,wardsPlaced,wardsKilled,sightWardsBoughtInGame,visionWardsBoughtInGame
200581288,DUO_SUPPORT,BOTTOM,0,0,0,0,13,True,14,2,8715,7700,19293,4915,12287,2090,8097,1981,5775,340,0,121,0,522,12021,11680,8372,3050,257,773,2,0,0,944,944,31,0,0,0,3,0,0,0,0,1,1,2,51,17,7,0,5
202154535,NONE,JUNGLE,0,0,0,0,14,True,4,0,10947,9225,141376,131961,3019,6396,8847,8010,623,214,0,577,0,0,15024,15312,11069,4242,0,7411,1,1,0,2046,5149,35,110,58,52,6,0,0,0,0,1,1,6,31,11,4,0,2
36176854,SOLO,TOP,0,0,0,0,15,True,1,2,10565,10158,112543,65609,46933,0,15905,9291,6613,0,0,111,0,1072,16429,20519,12240,8279,0,518,1,1,0,4232,4232,184,1,0,1,6,0,0,0,0,1,2,4,21,8,1,0,1
202512340,SOLO,MIDDLE,0,0,0,0,15,True,6,2,11259,10445,131153,22190,72643,36320,22381,4583,12600,5197,0,97,0,715,5547,14015,5285,8730,0,2634,1,3,0,7081,8275,182,13,3,10,5,1,0,0,0,2,1,4,15,10,1,0,0
40123092,DUO_CARRY,BOTTOM,0,0,0,0,14,True,7,3,13583,11350,173962,166230,0,7732,26409,26409,0,0,1920,230,0,539,9428,17365,11599,5765,0,1785,3,3,2,4556,23891,214,14,11,3,8,1,0,0,0,2,1,5,14,8,0,0,2
200256289,DUO_CARRY,BOTTOM,0,0,0,0,12,False,1,5,8003,7700,80974,74894,6079,0,10237,9035,1201,0,354,16,0,524,6805,15166,11976,2844,344,2081,2,0,0,381,381,170,1,1,0,3,0,0,0,0,1,1,2,12,6,1,0,0
202105600,SOLO,TOP,0,0,0,0,13,False,1,8,7480,6775,72714,47773,24940,0,14013,8149,5863,0,0,51,0,497,12309,22722,14387,7879,455,827,1,0,0,1309,1309,161,0,0,0,2,0,0,0,0,1,0,0,15,8,0,0,3
200514042,SOLO,MIDDLE,0,0,0,0,13,False,0,6,7576,6425,77781,21532,56249,0,16574,2237,14337,0,0,139,0,760,14455,25117,16694,5652,2769,2838,1,0,0,0,0,158,0,0,0,3,0,0,0,0,1,1,2,13,9,1,0,3
38955434,NONE,JUNGLE,0,0,0,0,12,False,2,5,6800,5950,102744,24327,25850,52566,2819,253,2566,0,0,579,0,544,22146,32313,22995,8008,1308,12688,3,0,0,0,8417,11,73,52,21,0,0,0,0,0,0,0,0,19,11,1,0,1
201506735,DUO_SUPPORT,BOTTOM,0,0,0,0,11,False,5,4,6447,5525,25238,7064,10139,8034,6793,2278,4257,257,0,88,0,764,12295,14037,9102,4061,873,1424,4,0,0,0,0,49,0,0,0,1,0,0,0,0,1,0,0,25,12,1,0,1
47902136,DUO_SUPPORT,BOTTOM,0,0,0,0,10,False,5,4,5491,3875,9372,2670,6679,22,3583,753,2807,22,0,106,0,424,7914,12398,9952,2238,208,572,3,0,0,0,0,20,0,0,0,1,0,0,0,0,1,0,0,19,12,2,0,3
202154535,DUO_CARRY,BOTTOM,0,0,0,0,11,False,2,8,7237,6700,61174,53542,7074,558,10953,8598,1796,558,0,121,0,254,7035,15548,11096,4245,206,485,1,0,0,0,0,114,2,1,1,3,0,0,0,0,1,0,0,13,8,2,0,0
48133457,NONE,JUNGLE,0,0,0,0,11,False,0,9,7019,6850,89064,21505,54173,13386,10179,2674,6516,988,0,322,0,304,10841,20275,15674,4226,375,4632,1,0,0,0,13226,14,60,33,27,4,0,0,0,0,1,1,2,19,9,3,0,1
202372336,SOLO,MIDDLE,0,0,0,0,11,False,1,8,7130,6275,86760,12928,73184,648,12064,1998,9886,180,0,132,0,418,11708,18074,13097,4120,857,81,1,2,0,4624,4624,126,10,2,8,1,0,0,0,0,1,0,0,8,6,1,0,1
36176854,SOLO,TOP,0,0,0,0,13,False,3,5,7666,7225,96580,95680,0,900,8039,7139,0,900,347,36,0,532,16770,23184,16924,5949,309,6230,1,0,0,1272,1272,157,0,0,0,2,0,0,0,0,1,0,0,10,6,1,0,0
200716541,SOLO,MIDDLE,0,0,0,0,14,True,4,1,12379,10433,144995,130269,6918,7807,16109,13302,1762,1043,470,525,0,327,4303,11088,6260,4254,574,4142,1,5,1,6239,11790,155,13,3,10,11,0,0,0,0,1,1,10,30,8,2,0,2
201848439,DUO_CARRY,BOTTOM,0,0,0,0,11,True,13,3,9331,8050,81001,78105,2651,244,16221,15517,638,66,908,98,0,781,6679,13574,8597,3909,1068,3621,2,1,0,3244,5818,140,1,0,1,4,0,0,0,0,1,1,2,18,11,0,0,4
201210118,SOLO,TOP,0,0,0,0,13,True,8,2,9708,9625,79734,9126,70225,382,11170,1199,9971,0,0,319,0,419,21162,16627,11181,3005,2440,658,1,0,0,2684,2684,130,2,0,2,7,0,0,0,0,1,2,4,9,6,0,0,1
42753220,DUO_SUPPORT,BOTTOM,0,0,0,0,12,True,19,2,7604,6150,20880,7149,6904,6826,6389,1513,4875,0,0,375,0,620,13899,16721,10481,5909,330,3352,5,0,0,643,643,34,0,0,0,1,0,0,0,0,1,0,0,22,9,2,0,2
201195831,NONE,JUNGLE,0,0,0,0,13,True,11,4,11230,10050,116602,87229,21418,7953,15971,12427,2696,847,0,754,0,554,15644,19233,13824,4172,1236,4277,1,0,0,5007,9283,28,82,37,45,11,0,0,0,0,1,2,6,31,15,2,0,1
32223226,NONE,JUNGLE,0,0,0,0,17,False,7,4,14594,13675,240233,219982,5557,14693,30765,27976,938,1850,486,717,0,984,17493,25637,16272,8092,1271,11561,1,1,0,969,28881,91,123,82,41,11,1,0,0,0,2,2,6,29,7,4,0,4
201628346,SOLO,MIDDLE,0,0,0,0,16,False,8,4,12138,11045,103215,40918,61959,337,16426,1901,14525,0,0,122,0,908,16005,22008,17794,3734,480,3203,1,0,0,1127,5141,212,2,1,1,4,0,0,0,0,1,1,2,24,9,2,0,0
