accountId,role,lane,totalScoreRank,totalPlayerScore,objectivePlayerScore,combatPlayerScore,champLevel,win,assists,deaths,goldEarned,goldSpent,totalDamageDealt,physicalDamageDealt,magicDamageDealt,trueDamageDealt,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,totalTimeCrowdControlDealt,timeCCingOthers,longestTimeSpentLiving,damageSelfMitigated,totalDamageTaken,physicalDamageTaken,magicalDamageTaken,trueDamageTaken,totalHeal,totalUnitsHealed,turretKills,inhibitorKills,damageDealtToTurrets,damageDealtToObjectives,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,kills,doubleKills,tripleKills,quadraKills,pentaKills,largestMultiKill,killingSprees,largestKillingSpree,visionScore,wardsPlaced,wardsKilled,sightWardsBoughtInGame,visionWardsBoughtInGame
41405418,DUO_CARRY,BOTTOM,0,0,0,0,18,False,13,9,18710,17875,327073,256914,68429,1729,30578,27300,3277,0,864,10,0,710,23902,33467,18596,11674,3196,4070,3,3,0,8350,10605,305,48,29,19,6,0,0,0,0,1,2,2,46,12,2,0,1
202155964,SOLO,MIDDLE,0,0,0,0,18,False,11,7,17293,15500,211549,19879,191119,550,36849,1682,35166,0,0,1311,33,700,22091,25474,10899,13137,1436,3759,1,2,0,2745,3012,291,7,1,6,7,1,0,0,0,2,2,4,48,16,9,0,2
203126026,SOLO,TOP,0,0,0,0,18,False,8,4,15176,15350,162787,11596,151141,50,11137,236,10901,0,0,1962,67,721,91458,35994,19125,9763,7105,3488,1,0,0,0,362,258,8,6,2,3,1,1,0,0,3,1,3,22,13,2,0,0
200358384,SOLO,TOP,0,0,0,0,18,True,8,5,20224,17625,318474,249177,60418,8877,24143,14981,8338,823,595,1518,40,889,28068,34434,20039,13908,487,4496,1,1,0,11289,23791,368,40,7,33,6,1,1,0,0,3,2,3,40,18,3,0,1
43093710,DUO_CARRY,BOTTOM,0,0,0,0,18,True,7,11,19265,17250,288743,179612,92822,16308,38744,27182,4328,7233,1500,81,11,385,17592,34505,21341,12021,1142,11732,4,3,0,3664,15621,300,18,5,13,10,3,0,0,0,2,3,4,37,18,7,0,0
217756040,SOLO,MIDDLE,0,0,0,0,18,True,16,5,18617,19780,228332,14530,205677,8124,48558,1764,43093,3699,0,647,75,1774,10739,27171,10657,16242,272,4219,1,1,1,3040,13747,252,25,24,1,10,0,0,0,0,1,1,8,40,10,7,0,4
207637718,DUO_SUPPORT,BOTTOM,0,0,0,0,18,True,23,6,15025,12620,20172,5054,11654,3463,8931,1630,4356,2944,0,114,36,817,45681,29511,14356,14164,990,9288,8,0,0,997,2237,8,0,0,0,4,0,0,0,0,1,1,2,97,46,7,0,8
201114720,NONE,JUNGLE,0,0,0,0,18,True,11,6,18732,18625,285018,258816,7086,19115,32354,26728,1815,3811,0,1352,28,630,26979,32966,16107,16238,620,10460,1,2,1,7508,28976,108,138,87,51,9,0,0,0,0,1,2,3,34,5,9,0,0
201317657,SOLO,TOP,0,0,0,0,18,True,11,3,15838,13085,186738,184524,1786,427,20295,18295,1573,427,0,180,27,493,42208,22365,13627,8597,140,3289,1,1,0,4784,7993,207,46,24,22,10,0,0,0,0,1,2,5,35,12,4,0,1
200468967,DUO_CARRY,BOTTOM,0,0,0,0,16,True,11,9,14193,11300,159979,147427,9702,2849,32964,27702,3870,1391,703,518,43,343,14199,28407,16433,11918,56,3513,4,4,1,6851,10105,192,8,7,1,9,0,0,0,0,1,2,3,25,12,3,0,0
